status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1021581417961885_1097065823746777,週日下午見 ヽ(✿ﾟ▽ﾟ)ノ,Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1097065823746777,2016-11-12 11:16:06,29102,1184,355,21103,73,192,4798,174,2762
1021581417961885_1096376097149083,"又是禮拜五啦
#狂阿編",跟著媽媽扭一下｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1096376097149083,2016-11-11 12:28:41,0,0,0,0,0,0,0,0,0
1021581417961885_1095456410574385,在頒獎啦！ 一定有幾個在你的D槽裡吧,卡提諾論壇｜CK101.COM,video,https://www.facebook.com/1021581417961885/posts/1095456410574385,2016-11-10 12:12:07,1083,60,0,944,25,15,97,1,1
1021581417961885_1095409803912379,"在此呼籲：吃大便是不會上狂新聞的
有病請立即就醫或來信小編幫您掛號",Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1095409803912379,2016-11-10 10:44:50,14959,250,75,12433,30,58,2422,9,7
1021581417961885_1095389460581080,讓人崩潰的GIF圖...,media.giphy.com,link,https://www.facebook.com/1021581417961885/posts/1095389460581080,2016-11-10 10:07:53,4057,1055,593,3041,12,15,755,4,230
1021581417961885_1094554577331235,"RIP #狂阿編
#神預言",話不能亂說...「川普在我有生之年不可能當總統」結果她在選前一天過世 網友:以生命下注｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1094554577331235,2016-11-09 14:24:29,0,0,0,0,0,0,0,0,0
1021581417961885_1094529730667053,"94狂，美國狂派總統94狂

#接下來換小編出來選總統",美國狂派總統94狂,video,https://www.facebook.com/1021581417961885/posts/1094529730667053,2016-11-09 13:42:52,28811,2295,8077,24170,116,828,3265,133,299
1021581417961885_1094505517336141,,giphy.com,link,https://www.facebook.com/1021581417961885/posts/1094505517336141,2016-11-09 12:52:57,12415,244,1333,9460,49,163,1930,144,669
1021581417961885_1094482964005063,川普給希拉蕊的一句話,川普給希拉蕊的一句話,video,https://www.facebook.com/1021581417961885/posts/1094482964005063,2016-11-09 12:26:54,1897,39,41,1665,5,22,196,5,4
1021581417961885_1094432004010159,亞軍能量爆發！,Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1094432004010159,2016-11-09 10:55:14,6255,61,34,5611,11,56,563,9,5
1021581417961885_1094381137348579,"美國大選開票中

ps.請把愛達荷州的手放開。",New York Magazine,video,https://www.facebook.com/1021581417961885/posts/1094381137348579,2016-11-09 10:17:46,3940,122,0,3295,23,119,494,6,3
1021581417961885_1094353500684676,"雙主修見笑系？ #狂阿編
#美好的夏夕夏景",垃圾丟百貨公司7年，遭民眾制止嗆「我法律系的」｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1094353500684676,2016-11-09 09:24:21,0,0,0,0,0,0,0,0,0
1021581417961885_1094265310693495,,365999 讚！,link,https://www.facebook.com/1021581417961885/posts/1094265310693495,2016-11-09 06:54:00,8628,62,2,8458,22,16,131,0,1
1021581417961885_1093947247391968,兩個字，第一個字 老,media.giphy.com,link,https://www.facebook.com/1021581417961885/posts/1093947247391968,2016-11-09 00:58:59,5130,365,230,4507,372,24,223,1,3
1021581417961885_1093592594094100,對豐田的戰爭已經全面開啟了嗎....,Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1093592594094100,2016-11-08 18:20:00,15296,329,333,12484,23,398,2384,5,2
1021581417961885_1092224497564243,跟著老師動次動 #狂阿編,強國版街舞｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1092224497564243,2016-11-07 18:30:11,0,0,0,0,0,0,0,0,0
1021581417961885_1090475861072440,"合影紀念。
　
狂新聞完整01期~38期連結：https://goo.gl/cQAZJJ",Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1090475861072440,2016-11-06 12:17:11,21839,297,170,18198,84,57,3495,1,4
1021581417961885_1090381324415227,"本周狂新聞最後10秒 完整字幕版
　
狂新聞完整01期~38期連結：https://goo.gl/cQAZJJ",本周狂新聞最後10秒 完整字幕版,video,https://www.facebook.com/1021581417961885/posts/1090381324415227,2016-11-06 10:23:31,14573,336,761,11867,106,30,2564,3,3
1021581417961885_1090321941087832,"目前狂新聞 27-34集的影片都被檢舉下架了
要懷舊的請前往官網
http://crazy.ck101.com/
或youtube頻道觀看唷！
https://goo.gl/cQAZJJ",,status,https://www.facebook.com/1021581417961885/posts/1090321941087832,2016-11-06 09:05:45,13781,586,193,9859,33,522,830,399,2138
1021581417961885_1089438194509540,"【1105】卡提諾狂新聞 #038 

● 15分鐘內不算拖稿　
● 108年來首次準時
● 下次再等108年
● 卡提諾狂新聞小編溫哥華報導
● FB大神不要下架我好嗎

● 狂新聞完整01期~38期連結：https://goo.gl/cQAZJJ",【1105】卡提諾狂新聞 #038,video,https://www.facebook.com/1021581417961885/posts/1089438194509540,2016-11-05 13:02:11,48300,3297,10482,41067,485,106,6627,4,11
1021581417961885_1089437531176273,"【1105】卡提諾狂新聞 #038 
被檢舉，從官網看一切正常
我就說一不拖稿就出事了吧",【1105】卡提諾狂新聞 #038 期 - 每週狂新聞｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1089437531176273,2016-11-05 12:55:08,0,0,0,0,0,0,0,0,0
1021581417961885_1089427901177236,影片被檢舉掉啦，大家從這進入吧！,【1105】卡提諾狂新聞 #038,video,https://www.facebook.com/1021581417961885/posts/1089427901177236,2016-11-05 12:40:57,29801,1307,3261,25002,136,227,3998,27,411
